transaction_id,account_id,transaction_date,transaction_type,channel,amount,currency,status
1,325,2025-11-16,transfer_out,mobile_app,3992.51,BRL,approved
2,274,2026-04-26,deposit,atm,2349.66,BRL,pending
3,181,2025-02-06,payment,atm,1453.15,BRL,rejected
4,134,2025-06-23,deposit,mobile_app,3150.21,BRL,approved
5,378,2026-05-12,transfer_out,mobile_app,146.22,BRL,approved
6,259,2025-10-12,deposit,atm,4258.71,BRL,approved
7,316,2025-09-21,payment,mobile_app,1383.33,BRL,approved
8,310,2025-06-04,withdrawal,branch,4551.56,BRL,approved
9,90,2025-08-30,payment,branch,3914.81,BRL,approved
10,271,2025-03-28,deposit,internet_banking,1720.81,BRL,rejected
11,79,2026-02-27,transfer_in,branch,3766.28,BRL,approved
12,339,2025-06-21,transfer_in,internet_banking,3632.74,BRL,rejected
13,376,2025-09-28,payment,mobile_app,281.09,BRL,approved
14,86,2025-11-05,transfer_in,branch,1999.74,BRL,rejected
15,120,2026-02-04,transfer_in,branch,3420.71,BRL,approved
16,75,2025-01-13,transfer_out,atm,4352.69,BRL,pending
17,196,2025-02-12,payment,mobile_app,4809.2,BRL,rejected
18,327,2026-03-19,payment,atm,4781.36,BRL,approved
19,139,2025-09-19,payment,branch,4013.56,BRL,pending
20,346,2025-07-19,withdrawal,atm,3674.22,BRL,approved
21,161,2025-01-09,transfer_out,mobile_app,62.78,BRL,approved
22,211,2026-04-02,deposit,atm,2631.07,BRL,approved
23,372,2025-02-04,payment,mobile_app,1266.96,BRL,rejected
24,48,2025-08-11,deposit,mobile_app,4693.14,BRL,approved
25,45,2025-07-09,transfer_out,mobile_app,658.24,BRL,approved
26,130,2025-03-19,payment,branch,2340.11,BRL,approved
27,219,2025-03-17,payment,atm,1294.11,BRL,approved
28,196,2025-03-03,transfer_in,atm,1669.95,BRL,approved
29,92,2025-07-25,transfer_in,branch,356.3,BRL,approved
30,331,2026-03-18,transfer_in,internet_banking,551.07,BRL,rejected
31,330,2025-09-23,deposit,mobile_app,4563.92,BRL,approved
32,38,2025-09-14,deposit,branch,2861.01,BRL,approved
33,255,2025-01-01,withdrawal,mobile_app,3267.8,BRL,pending
34,137,2026-02-05,withdrawal,mobile_app,3503.28,BRL,rejected
35,363,2026-02-18,transfer_in,mobile_app,2395.92,BRL,rejected
36,116,2026-05-09,deposit,mobile_app,1928.28,BRL,rejected
37,275,2025-11-07,payment,branch,1673.86,BRL,approved
38,324,2025-12-15,deposit,mobile_app,1833.12,BRL,pending
39,149,2025-02-10,withdrawal,branch,891.33,BRL,approved
40,154,2026-01-03,transfer_in,branch,4483.34,BRL,approved
41,324,2025-05-24,transfer_in,mobile_app,3679.27,BRL,approved
42,13,2026-02-03,transfer_out,mobile_app,1200.04,BRL,rejected
43,330,2026-04-06,payment,mobile_app,2503.42,BRL,approved
44,174,2025-02-13,deposit,branch,1695.22,BRL,approved
45,109,2025-06-02,transfer_out,internet_banking,2297.27,BRL,approved
46,19,2025-01-20,withdrawal,branch,2449.58,BRL,rejected
47,24,2025-05-14,withdrawal,mobile_app,3509.47,BRL,approved
48,324,2025-04-10,deposit,branch,4524.27,BRL,rejected
49,88,2025-04-19,transfer_out,mobile_app,329.15,BRL,pending
50,305,2025-07-27,transfer_out,branch,1110.66,BRL,approved
51,378,2025-05-21,transfer_in,atm,1627.93,BRL,approved
52,24,2025-03-06,transfer_out,mobile_app,875.5,BRL,approved
53,73,2026-01-14,transfer_in,internet_banking,848.57,BRL,pending
54,125,2025-04-13,transfer_out,branch,213.09,BRL,approved
55,9,2025-01-08,transfer_in,internet_banking,412.81,BRL,approved
56,362,2026-03-03,transfer_out,branch,4435.71,BRL,approved
57,106,2026-04-07,withdrawal,branch,3202.73,BRL,approved
58,90,2025-07-04,transfer_out,branch,3461.45,BRL,rejected
59,46,2025-01-05,payment,internet_banking,1745.79,BRL,approved
60,61,2026-01-06,transfer_out,internet_banking,4884.19,BRL,pending
61,321,2025-07-18,withdrawal,mobile_app,1389.37,BRL,approved
62,351,2025-06-13,transfer_in,mobile_app,2492.6,BRL,approved
63,331,2026-03-22,payment,atm,1432.47,BRL,approved
64,316,2025-02-23,transfer_in,internet_banking,226.15,BRL,approved
65,15,2025-03-14,transfer_in,internet_banking,2579.37,BRL,pending
66,304,2025-07-23,transfer_out,atm,1636.6,BRL,approved
67,57,2025-08-31,payment,branch,1146.63,BRL,approved
68,193,2026-05-12,withdrawal,mobile_app,376.91,BRL,pending
69,75,2026-04-11,withdrawal,internet_banking,4640.16,BRL,pending
70,192,2025-07-18,withdrawal,atm,2294.12,BRL,approved
71,104,2025-03-03,payment,atm,644.79,BRL,approved
72,57,2025-06-25,transfer_in,atm,2298.31,BRL,approved
73,152,2025-06-24,transfer_out,internet_banking,792.37,BRL,approved
74,211,2025-08-10,transfer_out,branch,2451.17,BRL,pending
75,143,2025-09-10,deposit,internet_banking,3652.79,BRL,approved
76,223,2025-06-02,transfer_out,mobile_app,1119.81,BRL,pending
77,23,2025-02-04,deposit,branch,4956.45,BRL,rejected
78,202,2025-04-11,transfer_in,branch,4050.49,BRL,pending
79,124,2025-01-13,deposit,branch,2796.85,BRL,approved
80,68,2025-04-03,payment,mobile_app,1485.99,BRL,pending
81,343,2026-04-16,payment,mobile_app,817.4,BRL,pending
82,238,2026-02-20,withdrawal,internet_banking,4372.25,BRL,approved
83,321,2025-01-02,transfer_in,mobile_app,3522.47,BRL,pending
84,354,2025-10-31,payment,branch,2659.29,BRL,approved
85,358,2025-08-01,transfer_out,mobile_app,2716.75,BRL,rejected
86,172,2026-01-08,deposit,mobile_app,2578.54,BRL,approved
87,197,2025-02-11,payment,atm,2332.11,BRL,approved
88,90,2025-07-29,transfer_out,internet_banking,3527.32,BRL,approved
89,123,2026-05-05,transfer_out,internet_banking,576.65,BRL,approved
90,165,2026-05-31,payment,branch,4490.69,BRL,approved
91,28,2026-04-09,deposit,branch,1870.34,BRL,rejected
92,270,2025-10-27,deposit,branch,2356.12,BRL,rejected
93,189,2026-04-14,deposit,mobile_app,949.88,BRL,approved
94,201,2025-03-20,withdrawal,mobile_app,1448.98,BRL,approved
95,142,2026-05-24,deposit,internet_banking,3488.44,BRL,approved
96,267,2025-05-16,deposit,branch,1472.92,BRL,approved
97,216,2025-01-22,transfer_in,atm,3691.17,BRL,approved
98,33,2025-08-26,deposit,atm,4360.25,BRL,pending
99,297,2025-12-01,payment,branch,3282.24,BRL,rejected
100,341,2026-04-01,transfer_out,branch,4211.12,BRL,approved
101,291,2025-11-10,withdrawal,internet_banking,4492.43,BRL,approved
102,117,2025-10-23,transfer_in,mobile_app,1865.79,BRL,approved
103,181,2025-06-20,payment,internet_banking,2285.07,BRL,rejected
104,147,2025-06-07,withdrawal,internet_banking,4866.3,BRL,approved
105,60,2025-05-10,deposit,branch,4968.93,BRL,approved
106,190,2025-02-05,withdrawal,atm,1033.73,BRL,approved
107,76,2025-06-16,payment,atm,2247.66,BRL,approved
108,13,2025-05-29,transfer_in,branch,4656.03,BRL,approved
109,80,2025-12-06,deposit,atm,4851.05,BRL,pending
110,149,2026-03-29,transfer_out,atm,3337.77,BRL,approved
111,375,2025-05-23,transfer_in,mobile_app,4501.87,BRL,approved
112,13,2025-08-14,transfer_in,branch,3091.43,BRL,approved
113,48,2025-07-19,payment,internet_banking,284.62,BRL,approved
114,101,2026-04-02,deposit,mobile_app,427.11,BRL,rejected
115,202,2025-02-27,withdrawal,atm,2457.42,BRL,pending
116,76,2026-01-17,transfer_in,mobile_app,1854.45,BRL,approved
117,177,2026-04-02,payment,mobile_app,1547.35,BRL,approved
118,373,2026-03-02,transfer_in,branch,3710.22,BRL,approved
119,84,2026-03-01,transfer_in,internet_banking,3645.74,BRL,rejected
120,307,2025-11-07,deposit,branch,726.76,BRL,rejected
121,172,2026-01-20,deposit,mobile_app,4666.43,BRL,approved
122,210,2026-04-19,payment,internet_banking,2078.42,BRL,approved
123,96,2026-05-18,transfer_in,mobile_app,1454.42,BRL,approved
124,300,2026-04-20,payment,internet_banking,2475.56,BRL,approved
125,2,2026-04-29,withdrawal,mobile_app,1320.76,BRL,approved
126,214,2025-09-08,withdrawal,mobile_app,2464.51,BRL,approved
127,142,2025-03-10,transfer_in,atm,4971.72,BRL,rejected
128,247,2025-09-22,transfer_out,branch,2185.98,BRL,approved
129,192,2025-01-18,transfer_out,atm,3667.46,BRL,approved
130,298,2026-04-18,deposit,internet_banking,739.22,BRL,approved
131,84,2026-03-06,deposit,atm,1370.63,BRL,approved
132,149,2025-03-20,payment,internet_banking,2652.77,BRL,approved
133,49,2025-11-27,transfer_out,atm,3765.62,BRL,approved
134,139,2025-12-27,payment,internet_banking,488.21,BRL,approved
135,71,2026-05-12,transfer_out,branch,1414.27,BRL,approved
136,84,2026-05-31,deposit,internet_banking,1097.2,BRL,approved
137,287,2025-04-27,transfer_out,branch,3451.37,BRL,pending
138,40,2025-01-18,deposit,branch,4096.04,BRL,approved
139,160,2026-03-29,payment,atm,703.68,BRL,approved
140,364,2025-05-02,payment,internet_banking,153.51,BRL,approved
141,356,2025-11-11,withdrawal,internet_banking,3443.36,BRL,approved
142,67,2025-04-25,deposit,mobile_app,2129.78,BRL,approved
143,248,2025-04-21,transfer_in,mobile_app,222.16,BRL,rejected
144,304,2025-09-17,deposit,mobile_app,2350.72,BRL,approved
145,155,2025-05-07,deposit,internet_banking,3775.21,BRL,rejected
146,103,2025-01-30,withdrawal,mobile_app,3356.3,BRL,approved
147,143,2025-06-14,transfer_out,internet_banking,1745.7,BRL,rejected
148,292,2025-01-15,deposit,internet_banking,504.54,BRL,approved
149,145,2025-01-05,withdrawal,mobile_app,4509.28,BRL,approved
150,259,2025-07-09,transfer_in,branch,1838.65,BRL,approved
151,93,2026-03-11,payment,internet_banking,4906.69,BRL,rejected
152,117,2025-11-18,transfer_in,mobile_app,573.1,BRL,pending
153,57,2026-01-05,transfer_out,atm,688.2,BRL,rejected
154,370,2026-05-21,deposit,mobile_app,420.42,BRL,pending
155,146,2025-11-16,transfer_in,branch,3005.94,BRL,approved
156,284,2026-03-15,transfer_in,internet_banking,1460.04,BRL,approved
157,244,2026-05-19,payment,mobile_app,904.69,BRL,pending
158,225,2025-03-29,transfer_out,mobile_app,3296.16,BRL,approved
159,203,2025-04-15,transfer_in,internet_banking,3478.24,BRL,approved
160,187,2026-02-18,withdrawal,mobile_app,1699.77,BRL,approved
161,218,2025-10-07,transfer_in,branch,1399.81,BRL,approved
162,244,2026-05-12,transfer_out,atm,4751.19,BRL,approved
163,233,2026-05-17,deposit,branch,619.73,BRL,approved
164,322,2025-02-24,withdrawal,mobile_app,158.32,BRL,pending
165,348,2026-01-27,deposit,atm,4860.64,BRL,approved
166,156,2025-03-20,transfer_out,branch,3119.93,BRL,pending
167,104,2026-05-18,payment,atm,3313.85,BRL,rejected
168,176,2025-02-02,transfer_out,branch,2737.63,BRL,approved
169,197,2026-01-21,transfer_in,branch,1579.65,BRL,pending
170,19,2025-11-07,deposit,internet_banking,892.58,BRL,pending
171,221,2026-02-03,withdrawal,branch,1569.17,BRL,approved
172,292,2026-04-27,transfer_in,branch,3303.79,BRL,rejected
173,81,2025-09-27,transfer_out,branch,288.13,BRL,rejected
174,194,2025-10-19,transfer_out,atm,3385.67,BRL,approved
175,15,2026-01-11,transfer_out,atm,235.14,BRL,rejected
176,14,2026-03-15,payment,atm,1909.06,BRL,approved
177,211,2025-09-08,payment,internet_banking,291.68,BRL,approved
178,332,2025-03-09,payment,atm,2966.73,BRL,approved
179,173,2025-11-30,withdrawal,mobile_app,108.36,BRL,pending
180,337,2026-03-08,transfer_in,atm,2844.57,BRL,approved
181,357,2025-11-21,transfer_in,branch,2944.07,BRL,rejected
182,200,2026-05-16,payment,mobile_app,2866.97,BRL,approved
183,173,2025-12-14,transfer_in,internet_banking,2518.81,BRL,rejected
184,154,2025-07-26,payment,branch,4847.44,BRL,approved
185,275,2025-02-18,withdrawal,atm,1443.9,BRL,rejected
186,206,2025-04-05,withdrawal,mobile_app,3126.62,BRL,rejected
187,173,2026-05-02,payment,branch,345.68,BRL,approved
188,178,2025-11-06,deposit,atm,3261.17,BRL,pending
189,340,2026-03-01,transfer_out,branch,1573.63,BRL,approved
190,320,2025-07-04,transfer_out,mobile_app,2271.61,BRL,rejected
191,96,2026-04-24,transfer_out,atm,2501.03,BRL,rejected
192,315,2025-03-03,transfer_in,internet_banking,4673.83,BRL,approved
193,237,2025-11-04,withdrawal,branch,1209.47,BRL,pending
194,164,2026-02-27,deposit,atm,3173.3,BRL,approved
195,331,2025-08-30,withdrawal,branch,1289.67,BRL,approved
196,59,2025-09-09,withdrawal,atm,967.66,BRL,pending
197,249,2026-03-09,transfer_out,mobile_app,4956.55,BRL,approved
198,82,2025-09-22,payment,atm,690.79,BRL,rejected
199,91,2026-05-13,deposit,mobile_app,4819.3,BRL,approved
200,43,2025-03-07,payment,branch,3011.98,BRL,approved
201,344,2025-05-24,deposit,internet_banking,1990.51,BRL,approved
202,293,2025-09-15,transfer_out,branch,4665.35,BRL,approved
203,122,2025-11-17,transfer_out,atm,620.16,BRL,rejected
204,378,2025-08-30,transfer_in,branch,4031.15,BRL,approved
205,74,2025-10-09,deposit,branch,884.02,BRL,pending
206,131,2026-01-19,transfer_out,mobile_app,289.07,BRL,approved
207,280,2025-09-10,transfer_in,atm,2379.52,BRL,approved
208,186,2025-11-12,transfer_in,mobile_app,3581.2,BRL,rejected
209,18,2025-09-03,deposit,atm,3456.51,BRL,rejected
210,197,2026-01-07,payment,mobile_app,3198.36,BRL,rejected
211,122,2026-02-07,transfer_in,atm,1948.47,BRL,approved
212,47,2025-06-14,withdrawal,branch,1494.14,BRL,approved
213,330,2025-10-08,transfer_in,mobile_app,3948.69,BRL,pending
214,242,2025-12-07,transfer_in,branch,4633.22,BRL,approved
215,83,2025-12-27,payment,branch,2536.61,BRL,rejected
216,374,2026-04-10,transfer_out,mobile_app,3691.55,BRL,approved
217,329,2025-05-20,withdrawal,mobile_app,3154.48,BRL,pending
218,103,2025-03-26,payment,mobile_app,1575.47,BRL,approved
219,128,2025-05-14,transfer_out,branch,3570.68,BRL,approved
220,232,2025-05-17,transfer_in,atm,4368.79,BRL,approved
221,352,2025-10-16,transfer_out,internet_banking,4135.58,BRL,approved
222,213,2026-01-22,payment,internet_banking,917.63,BRL,approved
223,12,2025-08-23,transfer_out,mobile_app,3239.06,BRL,pending
224,102,2025-06-22,payment,mobile_app,3509.29,BRL,pending
225,317,2025-06-02,transfer_in,mobile_app,3005.96,BRL,approved
226,88,2026-03-22,transfer_out,branch,595.58,BRL,pending
227,61,2025-07-15,withdrawal,atm,3570.68,BRL,approved
228,254,2025-07-31,transfer_in,internet_banking,659.69,BRL,approved
229,373,2026-02-23,withdrawal,internet_banking,2097.47,BRL,approved
230,149,2026-04-07,payment,internet_banking,1185.07,BRL,approved
231,299,2026-04-26,transfer_in,internet_banking,437.84,BRL,approved
232,355,2026-01-28,transfer_in,branch,3437.39,BRL,rejected
233,132,2025-03-02,deposit,mobile_app,485.44,BRL,approved
234,121,2025-02-16,transfer_in,mobile_app,4542.05,BRL,approved
235,259,2026-02-09,transfer_out,atm,1910.88,BRL,approved
236,287,2025-09-24,deposit,internet_banking,2906.63,BRL,rejected
